t,h
0.000000000000000000e+00,3.745648388067481344e-26
9.765625000000000000e-04,-4.666433403938944554e-26
1.953125000000000000e-03,-1.474654551159629342e-26
2.929687500000000000e-03,5.909626588118661710e-26
3.906250000000000000e-03,-3.471912418663636001e-26
4.882812500000000000e-03,1.230516420658213321e-26
5.859375000000000000e-03,3.230921620485959862e-26
6.835937500000000000e-03,-5.316287945274504427e-26
7.812500000000000000e-03,4.818836531416924547e-26
8.789062500000000000e-03,2.356491010892134840e-26
9.765625000000000000e-03,-4.941512383302438949e-26
1.074218750000000000e-02,4.436030880808491275e-26
1.171875000000000000e-02,-1.818975757838340473e-26
1.269531250000000000e-02,-2.226008800664531597e-26
1.367187500000000000e-02,6.748831650794941913e-26
1.464843750000000000e-02,-3.662667003820342207e-26
1.562500000000000000e-02,-1.681114943822965961e-26
1.660156250000000000e-02,6.100166409833988873e-26
1.757812500000000000e-02,-4.052444850020104363e-26
1.855468750000000000e-02,-9.467405176787036968e-28
1.953125000000000000e-02,3.937665765996248114e-26
2.050781250000000000e-02,-3.208483179952532767e-26
2.148437500000000000e-02,1.410443297270129643e-26
2.246093750000000000e-02,2.824292898741408311e-26
2.343750000000000000e-02,-4.783200606417074506e-26
2.441406250000000000e-02,2.898831989927847606e-26
2.539062500000000000e-02,7.702925440623676575e-27
2.636718750000000000e-02,-3.663834394451652381e-26
2.734375000000000000e-02,5.273857170853980489e-26
2.832031250000000000e-02,-2.193937130978378913e-26
2.929687500000000000e-02,-1.175318756910853965e-26
3.027343750000000000e-02,4.563155705290055410e-26
3.125000000000000000e-02,-3.637032221869074033e-26
3.222656250000000000e-02,-9.130412993705039846e-27
3.320312500000000000e-02,3.533199382038075598e-26
3.417968750000000000e-02,-6.551091563328840578e-26
3.515625000000000000e-02,1.592455470341586989e-26
3.613281250000000000e-02,1.918829074273795292e-26
3.710937500000000000e-02,-5.211097273702205366e-26
3.808593750000000000e-02,3.133138724398653868e-26
3.906250000000000000e-02,3.151934319556103952e-26
4.003906250000000000e-02,-5.048305178039378971e-26
4.101562500000000000e-02,4.359329957886197030e-26
4.199218750000000000e-02,-3.141056734245295627e-27
4.296875000000000000e-02,-4.211926782825916138e-26
4.394531250000000000e-02,6.158274214750671490e-26
4.492187500000000000e-02,-3.953766501723100814e-26
4.589843750000000000e-02,-1.201759121194376601e-26
4.687500000000000000e-02,5.926429591196059228e-26
4.785156250000000000e-02,-4.150672661625524655e-26
4.882812500000000000e-02,4.845720954849650057e-27
4.980468750000000000e-02,3.239015204893392405e-26
5.078125000000000000e-02,-5.441428713299834116e-26
5.175781250000000000e-02,3.632404600625586201e-26
5.273437500000000000e-02,1.496442911673188902e-26
5.371093750000000000e-02,-3.713110171279876323e-26
5.468750000000000000e-02,3.077542114061924799e-26
5.566406250000000000e-02,-1.736553665676370195e-26
5.664062500000000000e-02,-3.637295044013113910e-26
5.761718750000000000e-02,5.868800582204414934e-26
5.859375000000000000e-02,-3.094796818380049992e-26
5.957031250000000000e-02,-7.210624893995368969e-27
6.054687500000000000e-02,7.177230030994032312e-26
6.152343750000000000e-02,-4.447195897032700429e-26
6.250000000000000000e-02,1.273474255347819498e-26
6.347656250000000000e-02,5.873025967577228354e-26
6.445312500000000000e-02,-4.639809173971852072e-26
6.542968750000000000e-02,2.412366318383834601e-26
6.640625000000000000e-02,2.186758111917212047e-26
6.738281250000000000e-02,-5.105799372931545958e-26
6.835937500000000000e-02,2.219555159227859049e-26
6.933593750000000000e-02,-6.499188015172073284e-27
7.031250000000000000e-02,-5.617119190697985220e-26
7.128906250000000000e-02,6.199745087967310095e-26
7.226562500000000000e-02,-1.367604414778326308e-26
7.324218750000000000e-02,-4.331453822631857469e-26
7.421875000000000000e-02,5.721596558933927391e-26
7.519531250000000000e-02,-4.359469886810835154e-26
7.617187500000000000e-02,-2.387786984586645389e-26
7.714843750000000000e-02,4.054301836796398700e-26
7.812500000000000000e-02,-5.380245558085778278e-26
7.910156250000000000e-02,1.518026685035100463e-26
8.007812500000000000e-02,2.331554487623945527e-26
8.105468750000000000e-02,-4.449386274297452967e-26
8.203125000000000000e-02,1.904513109318793503e-26
8.300781250000000000e-02,2.037928454192248899e-26
8.398437500000000000e-02,-3.922247305815119910e-26
8.496093750000000000e-02,3.065454190487787657e-26
8.593750000000000000e-02,-7.834245018481786803e-27
8.691406250000000000e-02,-2.236579829139849526e-26
8.789062500000000000e-02,4.641972848569872019e-26
8.886718750000000000e-02,-3.265031679776735012e-26
8.984375000000000000e-02,-3.084078799643475969e-26
9.082031250000000000e-02,4.454073113651465313e-26
9.179687500000000000e-02,-4.289058696485080848e-26
9.277343750000000000e-02,8.867272545917285898e-27
9.375000000000000000e-02,4.575272911527567937e-26
9.472656250000000000e-02,-3.414538366640322766e-26
9.570312500000000000e-02,2.860756881854107169e-26
9.667968750000000000e-02,3.469072444519936579e-26
9.765625000000000000e-02,-5.240521440992757217e-26
9.863281250000000000e-02,4.477822449948903873e-26
9.960937500000000000e-02,-3.462886636789506276e-27
1.005859375000000000e-01,-4.540790478800431460e-26
1.015625000000000000e-01,5.028459373934876160e-26
1.025390625000000000e-01,-2.677161419322495853e-26
1.035156250000000000e-01,-1.557694243485997727e-26
1.044921875000000000e-01,5.966013200570395654e-26
1.054687500000000000e-01,-4.759042010525509605e-26
1.064453125000000000e-01,-1.305611722592612504e-26
1.074218750000000000e-01,5.326509397556713040e-26
1.083984375000000000e-01,-5.446941737826409018e-26
